30,30
2.58,3.05,3.35,4.81,1.4,4.75,4.62,1.9,1.63,4.5,3.34,3.26,3.38,3.21,4.38,4.42,2.45,4.46,2.44,4.42,2.1,4.33,4.31,1.96,4.73,1.88,3.88,3.6,4.15,4.75
2.82,2.19,4.95,3.36,1.01,1.84,3.05,3.59,1.61,2.04,3.49,3.98,3.17,1.23,4.14,1.73,2.6,2.41,1.38,3.44,2.86,4.96,3.09,1.36,3.38,2.08,4.72,3.64,3.49,2.21
3.16,1.1,1.01,3.12,3.07,4.82,1.78,2.82,4.18,3.89,2.4,3.89,4.97,2.38,3.99,2.96,1.42,3.37,1.75,3.07,2.31,2.77,3.32,1.65,3.67,1.11,4.71,2.1,2.69,4.11
1.5,4.15,1.29,2.12,1.8,1.51,4.57,4.29,3.11,2.73,1.85,4.37,4.1,2.38,1.04,4.34,4.58,1.82,3.84,1.34,1.21,1.8,4.2,2.13,3.54,2.93,1.52,2.28,1.76,3.23
2.28,4.46,1.28,4.71,2.05,1.27,3.18,1.59,1.48,4.86,2.71,3.69,1.76,1.63,2.18,3.18,1.94,4.43,2.44,2.94,1.0,1.82,2.69,1.37,2.25,4.6,1.12,2.3,2.75,3.39
4.92,4.94,1.8,2.75,4.23,4.36,2.81,1.89,4.38,2.76,1.32,2.54,1.55,1.05,3.67,1.89,3.39,2.26,2.18,3.98,4.16,1.75,1.46,4.67,3.54,4.46,2.19,1.5,4.11,2.42
2.93,3.55,4.3,4.34,2.26,4.56,2.44,3.16,2.79,1.8,1.63,2.27,4.97,3.7,4.62,2.27,4.87,1.29,3.32,1.82,1.96,4.56,3.77,3.47,4.28,1.99,1.42,4.69,2.47,1.71
1.86,1.58,4.84,3.29,2.94,3.91,2.15,1.96,3.6,4.66,1.37,3.58,1.61,2.75,4.89,4.93,3.37,4.22,2.03,1.13,2.57,1.89,1.91,3.11,2.27,1.62,1.88,1.68,4.88,1.33
2.77,3.32,1.71,2.75,1.21,2.47,1.47,4.38,2.36,1.4,2.83,3.15,1.36,4.84,3.73,2.04,1.69,2.18,2.76,1.4,3.72,4.81,4.93,2.9,2.2,4.53,1.31,3.31,3.21,4.54
1.9,2.18,1.91,1.08,3.81,3.88,2.12,2.74,3.26,3.97,1.35,3.54,2.54,2.56,4.14,2.29,1.69,4.74,1.91,2.99,3.94,4.68,2.16,3.34,3.02,3.5,4.75,3.64,4.36,4.73
3.03,2.25,1.99,2.86,1.5,2.05,1.06,4.5,3.79,4.58,4.47,3.25,3.08,3.61,2.93,3.55,3.88,2.33,2.71,3.95,1.37,3.49,1.03,1.64,3.53,2.39,4.43,3.42,3.27,1.63
1.38,3.62,3.37,3.38,3.06,2.31,4.35,4.11,3.95,3.31,1.66,4.15,1.94,4.62,4.34,2.42,2.04,4.04,1.77,1.59,1.23,2.18,1.63,3.86,4.42,1.58,1.96,2.09,1.9,2.31
4.18,4.35,1.96,1.7,1.0,2.87,4.93,2.07,2.56,1.71,2.77,3.27,2.02,3.07,1.61,3.81,3.43,3.56,4.73,4.27,3.38,2.48,2.04,2.32,3.04,4.11,3.81,3.52,2.09,1.62
3.43,3.29,4.21,4.8,3.78,3.86,3.32,3.15,4.56,1.67,1.11,4.41,3.23,4.04,4.65,2.89,3.9,4.79,3.73,1.84,3.15,3.92,1.95,1.65,1.42,3.62,4.77,2.7,2.23,1.97
2.48,2.89,3.14,4.78,3.39,3.68,4.78,3.63,2.37,4.32,1.83,3.86,3.15,1.89,1.2,2.28,2.85,2.84,2.15,4.69,2.31,2.78,2.29,1.23,4.81,2.36,4.74,2.77,1.88,3.99
2.61,4.02,1.79,2.72,1.85,1.41,1.37,4.27,3.47,2.69,3.57,4.5,4.0,4.56,4.52,2.16,2.96,4.03,3.66,4.42,2.73,4.92,1.13,4.04,2.65,4.95,2.39,1.84,3.13,1.98
4.39,1.64,4.9,3.92,2.73,3.1,3.91,3.21,3.85,3.78,1.9,4.37,1.14,3.53,2.97,1.89,3.85,3.08,4.06,2.62,3.0,3.5,1.72,1.32,1.8,4.69,2.11,4.36,2.54,3.04
1.11,4.6,2.18,3.57,1.11,1.12,4.83,3.21,4.5,2.42,4.19,1.31,3.7,1.75,2.06,4.98,2.81,1.4,2.04,4.7,4.03,4.03,3.22,1.53,3.71,2.41,3.15,4.34,1.61,4.87
4.93,1.36,2.16,2.09,4.21,3.12,4.85,3.4,1.94,1.11,3.08,3.98,1.75,3.85,1.02,1.83,1.73,3.31,2.54,3.25,2.84,2.11,1.64,3.09,4.18,3.59,1.93,4.17,2.98,3.23
4.08,2.63,4.02,3.2,3.04,1.11,4.92,3.17,2.42,1.46,3.3,1.13,1.3,2.72,3.08,1.48,1.95,3.38,4.12,2.37,3.35,3.01,3.42,3.39,1.74,4.66,3.14,3.5,4.56,3.55
